"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Belgium",1993,96.242,42.405,54.9758293048842,NA,54.9758293048842,54.9758293048842,54.9758293048842,NA,96,96,0.7096358
"Belgium",1994,103.383,42.684,54.6493749582191,NA,54.6493749582191,54.6493749582191,54.6493749582191,NA,96,96,0.7032595
"Belgium",1995,117.874,42.609,55.7194471145878,NA,55.7194471145878,55.7194471145878,55.7194471145878,96,96,96,0.6928893
"Belgium",1996,117.922,43.02,56.0242552069602,NA,56.0242552069602,56.0242552069602,56.0242552069602,NA,96,96,0.696622
"Belgium",1997,111.273,43.451,55.5791398621951,NA,55.5791398621951,55.5791398621951,55.5791398621951,NA,96,96,0.6940459
"Belgium",1998,115.614,44.084,55.131494547787,NA,55.131494547787,55.131494547787,55.131494547787,NA,96,96,0.6890373
"Belgium",1999,114.215,43.893,54.2705158089774,NA,54.2705158089774,54.2705158089774,54.2705158089774,NA,96,96,0.6988711
"Belgium",2000,103.607,43.537,56.2002423925744,NA,56.2002423925744,56.2002423925744,56.2002423925744,96,96,96,0.6888261
"Belgium",2001,103.433,43.454,56.3617734047424,NA,56.3617734047424,56.3617734047424,56.3617734047424,NA,96,96,0.6996912
"Belgium",2002,113.097,43.627,55.5704834457767,NA,55.5704834457767,55.5704834457767,55.5704834457767,96,96,96,0.7027099
"Belgium",2003,137.755,43.142,54.1587191491821,NA,54.1587191491821,54.1587191491821,54.1587191491821,NA,96,96,0.6948338
"Belgium",2004,160.383,43.215,54.0256344672749,NA,54.0256344672749,54.0256344672749,54.0256344672749,NA,96,96,0.6793054
"Belgium",2005,167.044,43.151,53.7015619992476,NA,53.7015619992476,53.7015619992476,53.7015619992476,NA,96,96,0.6729702
"Belgium",2006,176.145,42.96,54.8686991476841,NA,54.8686991476841,54.8686991476841,54.8686991476841,NA,96,96,0.6706165
"Belgium",2007,201.595,42.72,54.6839381017513,NA,54.6839381017513,54.6839381017513,54.6839381017513,NA,96,96,0.6692364
"Belgium",2008,223.887,43.25,54.4881889763779,NA,54.4881889763779,54.4881889763779,54.4881889763779,96,96,96,0.6817372
"Belgium",2009,205.303,42.37,54.912009346725,NA,54.912009346725,54.912009346725,54.912009346725,NA,96,96,0.6996751
"Belgium",2010,206.094,42.621,53.8372380741532,NA,53.8372380741532,53.8372380741532,53.8372380741532,NA,96,96,0.6853337
"Belgium",2011,227.421,43.141,55.1116866299773,NA,55.1116866299773,55.1116866299773,55.1116866299773,NA,96,96,0.6890337
"Belgium",2012,220.005,44.172,55.0488326006829,NA,55.0488326006829,55.0488326006829,55.0488326006829,NA,96,96,0.7046528
"Canada",1970,26.99,30.042,31.0251284980011,NA,31.0251284980011,31.0251284980011,31.0251284980011,33.8173900628212,33.8173900628212,33.8173900628212,0.6790414
"Canada",1971,30.476,29.578,30.7895836234508,NA,30.7895836234508,30.7895836234508,30.7895836234508,33.5606461495613,33.5606461495613,33.5606461495613,0.6814742
"Canada",1972,35.492,30.097,31.8212320493893,NA,31.8212320493893,31.8212320493893,31.8212320493893,34.6851429338344,34.6851429338344,34.6851429338344,0.6805791
"Canada",1973,41.014,29.68,33.0798479087452,NA,33.0798479087452,33.0798479087452,33.0798479087452,36.0570342205323,36.0570342205323,36.0570342205323,0.6601778
"Canada",1974,53.211,32.192,33.1468871595331,NA,33.1468871595331,33.1468871595331,33.1468871595331,36.1301070038911,36.1301070038911,36.1301070038911,0.6587222
"Canada",1975,56.666,31.278,34.3402985074627,NA,34.3402985074627,34.3402985074627,34.3402985074627,37.4309253731343,37.4309253731343,37.4309253731343,0.6670449
"Canada",1976,65.757,30.706,34.526984847625,NA,34.526984847625,34.526984847625,34.526984847625,37.6344134839112,37.6344134839112,37.6344134839112,0.6696914
"Canada",1977,65.252,29.95,35.0785340314136,NA,35.0785340314136,35.0785340314136,35.0785340314136,38.2356020942408,38.2356020942408,38.2356020942408,0.6674693
"Canada",1978,67.213,29.677,35.4696646720841,NA,35.4696646720841,35.4696646720841,35.4696646720841,38.6615161548616,38.6615161548616,38.6615161548616,0.6522504
"Canada",1979,74.414,29.453,34.5783644332087,NA,34.5783644332087,34.5783644332087,34.5783644332087,37.6904172321974,37.6904172321974,37.6904172321974,0.6378572
"Canada",1980,86.383,30.43,34.0333650618706,NA,34.0333650618706,34.0333650618706,34.0333650618706,37.0967396096349,37.0967396096349,37.0967396096349,0.6317085
"Canada",1981,101.811,32.621,33.9129420002334,36.1267592484537,33.9129420002334,33.9129420002334,33.9129420002334,36.8,36.8,36.8,0.6453578
"Canada",1982,103.08,32.444,36.7979374146909,NA,36.7979374146909,36.7979374146909,36.7979374146909,39.6,39.6,39.6,0.6563469
"Canada",1983,111.32,31.883,35.889996977939,NA,35.889996977939,35.889996977939,35.889996977939,38.6,38.6,38.6,0.6335916
"Canada",1984,115.364,31.83,35.889848005191,36.2200131339062,35.889848005191,35.889848005191,35.889848005191,38.3834908025523,38.3834908025523,38.3834908025523,0.6247289
