"Country","Year","Ny","No","n","p","p1","dep","K","L","Y","theta","tau","u","k"
"France",2001,2.09610931294669,0.798500109383649,1.38511006303144,0.527649264285829,0.681629704488118,0.380943925229322,3.34746587233707,1.22987155015762,2.91753077027227,0.652622997760773,0.43101,0.413259822585933,2.72180120916535
"France",2002,2.11051257763493,0.801174390523186,1.39464356691099,0.529422435837418,0.679069776692674,0.379611284487578,3.48750126870523,1.23351597259491,3.0159328077724,0.657204151153564,0.42404,0.415537255893917,2.82728505036596
"France",2003,2.12592005176671,0.804678679145258,1.40283167206551,0.530983625655496,0.676353641572701,0.378508438488335,3.54249303880965,1.2318443363154,3.03112487239285,0.656774401664734,0.42239,0.420559425415976,2.87576354769441
"France",2004,2.14160019265878,0.812755023107363,1.40649960033412,0.533778255665383,0.6745600980412,0.379508288191893,3.55543484283039,1.23154443639216,3.06808341293183,0.651636838912964,0.42413,0.424941947328085,2.88697243702073
"France",2005,2.15714856412078,0.827686509871796,1.403575569638,0.538544532304152,0.674563066392289,0.383694717943152,3.62276971370178,1.23815553779627,3.11630457913595,0.650174498558044,0.42904,0.426022130144324,2.92594072643712
"France",2006,2.1726135206185,0.850210231040126,1.39694492373658,0.546667345613449,0.674912193685116,0.391330636107837,3.73871352000646,1.25071151457675,3.22806386137054,0.649929404258728,0.43273,0.424328578135379,2.98926928906676
"France",2007,2.18813549138473,0.879373418955736,1.38318034817837,0.555876012522544,0.676389012430236,0.401882526204644,3.77383430467128,1.26832436297159,3.26441819188256,0.641858756542206,0.42545,0.420362967482903,2.97544887951965
"France",2008,2.20338133146959,0.912949832647329,1.36491130477349,0.565537852878282,0.678910973170859,0.414340368418397,3.83366894934469,1.27500171199197,3.25623136566168,0.642063558101654,0.42332,0.421343144837493,3.00679513861611
"France",2009,2.21806690572545,0.947335976278968,1.34597044277784,0.574863733893793,0.681987947540007,0.427099820043133,3.93145871488177,1.26158906960759,3.19694361519931,0.653577864170074,0.41528,0.431221363814105,3.11627518785069
"France",2010,2.23202608636993,0.980368115804502,1.32832942910956,0.583439336814264,0.685327857682168,0.439227893343724,3.97273491676521,1.26378407991213,3.24502748198348,0.65301913022995,0.42145,0.433795112149656,3.14352347043447
"France",2011,2.24470628437209,1.01109771625037,1.31110662464831,0.590570322349973,0.686896630990891,0.450436532961906,4.0155047379035,1.27418209862628,3.30179879115768,0.651669561862946,0.43334,0.43236132606868,3.15143710010736
"France",2012,2.2562952068064,1.04035425682888,1.29497626317845,0.597100088599201,0.688419294588848,0.461089601081684,4.08896247978715,1.27825534491929,3.32451666886763,0.65594208240509,0.4436,0.433471586048109,3.19886202396075
"France",2013,2.26715066735795,1.06906708175948,1.27844213490965,0.60284498160811,0.690239508768519,0.471546552750872,4.18475281784055,1.28068820380838,3.37684747503792,0.654956340789795,0.45367,0.435111118882609,3.26758129371096
"France",2014,2.27767602559301,1.09808563127832,1.25912166243576,0.607032514728256,0.692732973877607,0.482107911283136,4.25186804393242,1.28363318712729,3.42017403995641,0.655695974826813,0.45449,0.436428547034873,3.31236998744782
"France",2015,2.2882048009394,1.12767791970179,1.23634861344215,0.609299933231612,0.696128679980284,0.492822110695175,4.30411688847964,1.2843650357938,3.45726573474665,0.650503575801849,0.45281,0.438701887494284,3.35116323516194
"France",2016,2.2992823269177,1.15595477785627,1.21575123950322,0.611213959041021,0.697666371796074,0.5027459065481,4.38013013621461,1.2930009750542,3.51331029842332,0.652846813201904,0.45461,0.437650192011203,3.38756908983072
"France",2017,2.3104145266773,1.18349870889857,1.19259142983078,0.610899213604781,0.699353645544709,0.512245181647383,4.4101193155039,1.30623210611261,3.56219632356826,0.654308676719666,0.46231,0.434633010210875,3.37621414667915
"France",2018,NA,NA,1.16952265400553,0.609718822963294,0.701309408613637,0.521339899552224,NA,NA,NA,NA,NA,NA,NA
"France",2019,NA,NA,1.14989002604218,0.609907142713148,0.703823149063357,0.530404759498953,NA,NA,NA,NA,NA,NA,NA
"France",2020,NA,NA,1.13489702454898,0.612781620210724,0.707316362457828,0.539944688333507,NA,NA,NA,NA,NA,NA,NA
"France",2021,NA,NA,1.12334516279953,0.617191696482385,0.709652205800667,0.549423024125782,NA,NA,NA,NA,NA,NA,NA
"France",2022,NA,NA,1.11652157351807,0.624090270483887,0.712242924049154,0.558959437315152,NA,NA,NA,NA,NA,NA,NA
