"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","Y","u","theta","tau","b","h","S","K","phi","sigma","a","alpha","gamma","omega","beta","A"
".cst","France",2070,3,3,1.52358967589863,1.11903159294822,1.01106627673088,0.742598301973306,0.858609575026038,1.75698658904432,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26978971646712,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","France",2080,4,3,1.51826759521563,1.16456773768301,1.00872699511094,0.773731138264388,0.897365173077799,1.71009365220253,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81573010703436,0.270248830318451,1.35566779264393,0.0229846256232996,0.66897175856968,0.5,1.22002385870924,1.48760134019268,25.777
".cst","United States",1970,1,1,1.19312415621366,0.355751694179942,1.59727372629601,0.476256248136138,0.560957405255052,2.41818566209229,1,1,0.838135742028278,0.438902903517372,0.999978239356984,0.170945853852345,1.00002176111655,22.2844114926168,33.0004849350753,0.161846019202153,0.67528996831821,0.257208000979573,13.9517133711345,16.2863019027598,5.25191710340348,1,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",1980,2,1,1.41143770747551,0.434438641680041,1.76140352737387,0.542157653738335,0.634152212887378,2.4259289124321,1,1,1.00732784525912,0.431307716328763,1.27034182862173,0.17694549731968,1.11921096554883,23.7671898120902,39.9642693384139,0.207041898044058,0.665607050956471,0.280061373079615,14.3359625213435,16.1198748296478,6.95221999441361,1.42178050458879,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",1990,3,1,1.61948865418536,0.502449645934745,1.60929895769471,0.499288271891971,0.668439713869851,2.44550637735017,1,1,1.16154812787469,0.412787775274469,1.54183924818281,0.18191195643212,1.22004548567587,25.0742114940196,46.5155256457708,0.246647710360415,0.657665975294466,0.300060593723078,14.6313490336455,16.1470584976729,8.42218513003494,1.88111401438331,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2000,4,1,1.83186461476798,0.53861576068192,1.70356699419654,0.500892929015935,0.644116777375506,2.55145000108777,1,1,1.29079090677946,0.327459606754382,1.87729781463749,0.187060729961435,1.25955198411082,26.5105807599975,51.4107352213348,0.312420812129529,0.649503541476836,0.333285785574502,14.659512003588,16.2354019964258,9.23057095894038,2.36455418719356,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2010,1,2,1.97721297514694,0.669291830816739,1.65717286407272,0.560957405255052,0.647220327049491,2.21942444470749,1,1,2.65622225294833,0.701068383065369,3.85233265237399,0.206720772870603,1.36330830624583,32.8602494402231,72.3753168430354,0.310489905041964,0.618976924195351,0.335114056658199,17.7680724457612,19.9406040576946,12.2956491424435,5.25191710340348,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2020,2,2,2.03832140852277,0.895066345548283,1.4441454962745,0.634152212887378,0.687350319801348,1.74293356897158,1,1,3.41075748179091,2.62343353496301,3.67815794487524,0.205415177975788,1.89013633960448,32.3916689686296,98.5946934224891,0.0726995596958788,0.620973284593432,0.239852598801958,20.0502809394744,23.1011268443495,15.5951040404866,6.95221999441361,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2030,3,2,2.09787643150285,1.08253053261913,1.29539433702185,0.668439713869851,0.723180221906701,1.50756501362813,1,1,4.01462402816621,5.79288071069378,4.01462402816621,0,2.09787643150285,33.2860080789786,113.14116159686,0,0.61719299026218,0.192607073539689,26.8748874730681,20.1304142242788,18.3826990986062,8.42218513003494,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2040,4,2,2.18755536034529,1.17993473225257,1.19416868621722,0.644116777375506,0.732544941351919,1.4483287541599,1,1,4.21958279377369,7.21028194355963,4.21958279377369,0,2.18755536034529,33.8098131428628,120.254449566106,0,0.615036185686287,0.182157120913894,27.6511149221222,18.5647593136178,19.8935535901305,9.23057095894038,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2050,1,3,2.25820481119575,1.2796924284211,1.14211510827655,0.647220327049491,0.747184873752377,1.38761495489052,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2956491424435,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2060,2,3,2.28827214721836,1.40104087200606,1.1226257731732,0.687350319801348,0.770998225823901,1.29794593759044,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5951040404866,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
".cst","United States",2070,3,3,2.31893665916025,1.51714274326707,1.10537333102076,0.723180221906701,0.807877912939298,1.23445153080524,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3826990986062,0.32471090555191,1.22420056838857,0.0130495424722043,0.66897175856968,0.5,1.90737156328236,0.727888601910192,33
