"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"baseline","France",2070,3,3,1.87868886093398,1.37984145072725,1.01106627673088,0.742598301973306,0.858609575026038,2.18481946656258,1,1,4.61238391924786,2.24207889393379,6.36966643120856,0.189785004431951,1.36039059266686,23.9992674730575,2.26795944422524,52.3007776489434,0.275882972984391,0.624242681827556,0.320774600329673,13.4830865963325,7.09393141388599,10.6398997357572,8.66523429144199,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","France",2080,4,3,1.83170370187444,1.40498489391427,1.00872699511094,0.773731138264388,0.897365173077799,2.12650792229976,1,1,4.99584039761441,2.48560329750498,6.83700567843849,0.192415122588603,1.33843670470289,24.4776883870855,2.19546088655848,52.8522781839373,0.269294098530658,0.61987557981014,0.318434559407856,13.7630008513551,7.14680838112905,10.9228612394176,9.15089935028417,0.66897175856968,0.5,0.270248830318451,1.35566779264397,0.0229846256232993,0.9811179325671,0.733308666177426,21.2
"baseline","United States",1970,1,1,1.5292795645603,0.45598255062876,1.59727372629601,0.476256248136138,0.560957405255052,3.0074252122292,1,1,0.653902676249728,0.133429063890659,1.00000524949224,0.170946522505327,0.999994750535316,16.0570464454266,7.72095355463202,23.7779157091604,0.346100756389277,0.675288883640145,0.257210482231823,10.0528753715591,1.74369587931036,4.70635329417054,1,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",1980,2,1,1.782992923458,0.54880284102489,1.76140352737387,0.542157653738335,0.634152212887378,3.01705526117936,1,1,0.797412309316031,0.131120082317447,1.29320412718094,0.177398728773793,1.09942465748863,17.2090733975095,6.70730872273261,28.4564004059932,0.38338248961955,0.66487958265336,0.281950353440838,10.3482919009424,1.73018091502312,6.1537127883453,1.42178050458879,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",1990,3,1,1.9579478111275,0.607457287161162,1.60929895769471,0.499288271891971,0.668439713869851,3.04140316899684,1,1,0.960757995536182,0.125489911319759,1.65871092711755,0.183811073151378,1.13408188469117,18.4417086583501,5.86524938046402,31.9476105196311,0.420780330177391,0.654647010277521,0.307284233350224,10.6298734580518,1.74400156828887,7.18268823403901,1.88111401438331,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2000,4,1,2.19587923516963,0.645645510635254,1.70356699419654,0.500892929015935,0.644116777375506,3.17316208647702,1,1,1.07681431169911,0.0995496462681978,2.03731541818365,0.189230085653722,1.16062253595551,19.5569553208425,5.2583702540409,35.1319444820513,0.471454296134893,0.646085590043022,0.344697199071025,10.6062457544974,1.7497153955512,7.78572329316582,2.36455418719356,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2010,1,2,2.53428059597028,0.857860696445322,1.65717286407272,0.560957405255052,0.647220327049491,2.76023182846758,1,1,1.85707664007452,0.213128911488395,3.34952437676453,0.202790861913176,1.40508106966418,22.6765371817919,4.06206014301557,50.9798632548718,0.44557004780829,0.624999187627808,0.316044533875187,12.6629125845505,2.11334105267789,10.9050060328237,4.70635329417054,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2020,2,2,2.57490120030118,1.13068890797343,1.4441454962745,0.634152212887378,0.687350319801348,2.16763437180851,1,1,2.38988307109629,0.79753922324114,3.24751914283302,0.201928638448336,1.89489654031016,22.4630984895278,4.12677566771646,67.9602398135116,0.264089612413666,0.626325741775708,0.190593404051232,14.8573004888619,2.52035715463944,14.0342681476107,6.1537127883453,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2030,3,2,2.53631450671889,1.30877007464217,1.29539433702185,0.668439713869851,0.723180221906701,1.87491353626546,1,1,2.83193910495387,1.76106980442359,3.24165026401739,0.201878285979885,2.21575051256068,22.450700779336,4.13059671622225,79.4139401923301,0.126389686022378,0.626403269233137,0.111787834711577,16.2956614420296,2.79171274733449,16.1094400507952,7.18268823403901,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2040,4,2,2.62225022135419,1.41440265646325,1.19416868621722,0.644116777375506,0.732544941351919,1.80124317133213,1,1,2.96910006137595,2.19196811505946,3.23825908900404,0.20184915342972,2.40429288675614,22.4435311571384,4.13280959385409,86.1377342358868,0.08311843500789,0.626448127449312,0.089420910840345,16.7011696290723,2.87214692189002,17.357013071834,7.78572329316582,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2050,1,3,2.89444015726975,1.64023791615906,1.14211510827655,0.647220327049491,0.747184873752377,1.72573523432163,1,1,3.76757004474057,2.76940028379161,4.11718387031508,0.208606643636818,2.64865655173889,24.1742899378121,3.65863204380796,103.926795937029,0.0849157668413164,0.616100889574405,0.0906069900128865,17.8446742345047,3.06697323546668,20.8669720638466,10.9050060328237,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2060,2,3,2.89065045083271,1.76985916348389,1.1226257731732,0.687350319801348,0.770998225823901,1.61421655831113,1,1,4.85505542310306,3.98842779890214,5.1416612480355,0.21499061592047,2.72952018240657,25.9416069474081,3.27440441811363,116.762009354537,0.0557418723456237,0.606431322297707,0.0770153850855958,19.311770809219,3.32272783104284,23.2972398322366,14.0342681476107,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2070,3,3,2.80357441480813,1.83421248779415,1.10537333102076,0.723180221906701,0.807877912939298,1.53525046286414,1,1,5.74603619069541,5.24494426445349,5.90244025191834,0.219017677375374,2.72928473025365,27.1275821441176,3.05909985510646,123.319281439876,0.0264982032087651,0.600383774947144,0.064138018937783,20.3941083894695,3.48617326068418,24.841174954856,16.1094400507952,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
"baseline","United States",2080,4,3,2.83511585119552,1.92091613461196,1.08117670392698,0.732544941351919,0.844757600054696,1.50618963284074,1,1,6.12215302048938,5.82182335504341,6.21377544616669,0.220529966810748,2.79331192802302,27.5879169708563,2.98308713562459,128.839139951457,0.014745049361871,0.598123036004711,0.0591774919249299,20.8186067354038,3.5160711110021,26.4923673728989,17.357013071834,0.66897175856968,0.5,0.32471090555191,1.22420056838855,0.0130495424722044,1.53366359630706,0.138649051773282,23.778
