"Country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769799366420274,0.41279496591505,0.420441749675184,0.403023041474654,0.406543535620053,0.421174223197531,0.421595925297114,0.41640097402043,0.406692441214172,0.4444918169843,0.526307769203574,0.52046548869113,0.508153349262545,0.516494864895592,0.517120385730824
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339589109262814,0.308902805397308,0.321752864447212,0.428618209909973,0.426029036840049,0.651237232590522,0.666452212228044,0.667671374353408,0.676868923746054,0.681266684507056,0.682760631869911,0.684161313385958,0.687528028265453,0.691114024270114,0.556610809733723,0.549320552284044,0.536490359275418,0.474461047082293,0.469293027257947
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,0.911352707316411,NA,0.887580901825381,NA,0.861417503923698,0.851423994344254,0.870331236451337,0.856430248206193,0.887380032142826,0.887365281078721,0.86774058989461,0.861696173744815,0.858684448011373,0.857830286547256,0.829753346444601,0.852422937560466,0.858387808489208,0.864625282000817,0.862140822911419,0.901555082997326,0.900625831403425,0.902774550437415,0.903735373507301,0.901295744044504,0.902637514981252,0.902638087615297,0.903700417710418,0.906192458827622,0.917523006973089,0.905837741982741,0.90491643260811
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459764044799754,0.463319806084386,0.445657845421208,0.482253438676123,0.499625695428671,0.495064555120908,0.508957660099091,0.515401091921625,0.509235609805152,0.490944182756701,0.488964267698864,0.483172655065111,0.48640245628334,0.485473396658313
"Netherlands",0.943020494268372,0.909117410415062,0.922705485122795,0.87672782979063,0.917078095668682,0.930752314896673,0.919023102166608,0.911966191459194,0.88705627665414,0.886880628563822,0.928707389105666,0.884756852359295,0.878816150306516,0.860008964048327,0.881185789177001,0.792718502622467,0.799893033250856,0.802057717665825,0.807014533137343,0.777125953955597,0.805417987861168,0.769753748648157,0.773456959297757,0.776176200140933,0.783921911449977,0.792586257971535,0.768144547012119,0.773465489706969,0.771916122820011,0.784449249666875,0.779331846335848,0.734379198740163,0.746372192993447,0.735616763344811,0.743105364146688,0.734595339098236,0.742818408347202,0.718505404568221,0.716253377915139
"New Zealand",0.527945894515011,NA,0.625599870871438,NA,0.626484979729855,NA,0.617445572892512,NA,0.558686692280824,NA,0.617802961067447,0.643035556842681,0.719164169433871,0.67984255477163,0.685181347150259,0.743611407082419,0.757529522416135,0.743665879859338,0.717575757575758,0.722246115004571,0.65480161110635,0.649928682955648,0.650277069664424,0.655749544475733,0.647090973899956,0.614274371415968,0.597074247860889,0.584166556510245,0.581893382352941,0.574665973917275,0.57395299103937,0.571937449581197,0.610828257512892,0.578561624323414,0.53856189579947,0.474486965808025,0.48327754831591,0.483027044340178,0.471519772337879
"Norway",0.68165260219687,0.668966111500917,0.650693660155324,0.614539929370567,0.670788522741511,0.64031726748876,0.678210096053279,0.660188438869758,0.668873097638448,0.752587738438543,0.734417147322102,0.741029619619822,0.731221266762024,0.723904028032567,0.723538358538333,0.745516087429393,0.731605068670906,0.726147127866679,0.732583421056414,0.731989266215428,0.730905636013579,0.733890711058037,0.732484696074313,0.731875679378958,0.735576457783113,0.733943759769642,0.732513928226465,0.722864303632421,0.740520726627626,0.72496662514004,0.731564438630913,0.730192056893875,0.729659737917602,0.72736860068153,0.727062542263681,0.724800030797434,0.721955853368996,0.719956329010899,0.721747272609677
"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515781927214857,0.464291416933796,0.427926169728768,0.441067996339635,0.425916330582897,0.376155411214874,0.367463228521957,0.356799625143576,0.351601625180592,0.35699057412168,0.385690670553271,0.359300922053246,0.351666567881207,0.358675818167518,0.351005936171851,0.293209632195368,0.269920061134366,0.26933547484192
"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,0.620036360156923,NA,0.628119446037487,NA,0.561340709404491,0.527680489173552,0.7847753101365,0.768971193214336,0.778297143102726,0.79501669595461,0.760086064480931,0.757674559396393,0.755059299507643,0.757738352579063,0.759203445827667,0.774952079378663,0.771829201946495,0.773403992706217,0.79444580374304,0.793161290364987,0.788967608654005,0.797032848139409,0.771455468367821,0.766260341433861,0.76212658393753,0.760719529517677,0.752733791350383,0.754843744409037,0.751096585032748,0.749497326626946,0.747204610236386
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734111167475904,0.742135961743969,0.761706548448151,0.744472731172772,0.739835190109654,0.732795620278562,0.731203210958175,0.76254494903495,0.765320149309813,0.762926715912855,0.730571949881255,0.757855703520968,0.75184272369752,0.766175750359618,0.762127033879311,0.626658424641254,0.581759855868144,0.604771913816608,0.639069644068232,0.679846358891235
