"Country","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"France",0.433526011560694,0.432525951557093,0.436046511627907,0.441660547126382,0.44291459066252,0.447958527845311,0.454908195817939,0.449858568658058,0.687440322758926,0.676894455792476,0.675133511319428,0.658698217325544,0.660430699203082,0.687540840325075,0.713889677459411,0.72190612720215,0.756487998566736,0.726099148886978,0.725698014787279,0.702738529834182,0.712760221736218,0.709747123961057,0.721571510567082,0.721641765768784,0.723322036139543,0.717535748492379,0.704710200601713,0.700304879960718,0.701693248301247,0.693129090751216,0.700109929705519,0.687205786915022,0.688528340714009,0.687135385773929,0.687871653985988,0.690958009356347,0.697581519895186,0.69803083415191,0.694321217785938
"Germany",0.625,0.625,0.625,0.625,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,0.316744817374136,NA,0.316462444576798,NA,0.334192931108767,0.335432771638582,0.335015259174772,0.342917396205598,0.338062697408913,0.411681492260881,0.346056446476786,NA,0.33897728087312,0.323955166823703,0.33952189951281,0.33816425120773,0.339805825242718,0.340632603406326,0.341047503045067,0.342717258261934,0.340619922726755,0.341880341880342,0.354187703271497,0.351974786149368,0.338536939553458,0.378236333089217,0.355683818187197,0.333717090308612,0.344018963203494,0.388362814898101,0.388338555560591
"Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703846345431195,0.721373886036839,0.63249738475806,0.701390973519075,0.677385047978246,0.659406263654648,0.603642225218131,0.507979481333713,0.481761155379107,0.47610415494565,0.480732402735168,0.418772346570594,0.448058219351782,0.422213583061296,0.402866406309417,0.393646649574992,0.386577548013299,0.373346297552972,0.361284355533997,0.348290868203101,0.343046328645671
"Ireland",0.244289472585293,0.239861338899657,0.234550242189786,0.469108018463909,0.514022603599833,0.494884023979592,0.447072184090985,0.424719268943153,0.608746202134338,0.600476831646144,0.551057463634265,0.606673643423143,0.479306902613994,0.474967375745257,0.491201849162965,0.461927663580731,0.384546473909063,0.406408965517241,0.358132107976126,0.351073050694802,0.354987934450468,0.347352115211105,0.35693402027027,0.354201451905626,0.369621016497592,0.321146245059289,0.314693188215425,0.305935675063192,0.299094395039569,0.276948293565191,0.285877342037374,0.290044890850984,0.297703914520222,0.299307629069476,0.318346913216564,0.340904058456964,0.341979570989361,0.345631751775271,0.364924639612308
"Italy",NA,0.098378771747773,0.083323821481566,0.0632142606075206,0.102969369878652,0.0880752939655029,0.0701134365562251,0.0622163542503336,0.0508708142640369,0.0413610095145903,0.0367037827787356,0.0329556953743819,0.0325197983962807,0.029086359007812,0.0240127214793218,0.02251224990201,0.0210147535084563,0.0197537545663645,0.204566321846116,0.200100386100386,0.200848829792454,0.269607049297452,0.269561458283299,0.27295154185022,0.275887123573756,0.358707136840178,0.361491079551759,0.361556290490454,0.397114830830522,0.415177216665062,0.449307479224377,0.452440725244073,0.525113268971152,0.522232825941557,0.510913509455399,0.531715196505542,0.535781068587469,0.630954855721088,0.630577570939577
"Japan",0.688888888888889,NA,0.662983425414365,0.66006600660066,0.657174151150055,0.666666666666667,0.66899336858702,0.670940196485759,0.685758847994978,0.688073394495413,0.691381325132431,0.69364161849711,0.695339105327441,0.577204812904932,0.577881691580427,0.579569076077819,0.575926502242361,0.573590017825312,0.572237645300542,0.573693751332907,0.614426590065952,0.61325821915068,0.613894335699669,0.615433414036364,0.599547093503499,0.592188515767679,0.601518669732819,0.592622777537593,0.618952911555536,0.590426942455582,0.604504218059354,0.626866229786504,0.593106652598954,0.595265468876845,0.591537736752155,0.589805791272041,0.597057703493796,0.597274732599473,0.605081007425422
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788818755635708,0.422657718120805,0.429320066334992,0.414090909090909,0.417184115523466,0.429799242060392,0.430165146090773,0.425649916249076,0.418079281792126,0.421479848758137,0.484310054817499,0.483491892655298,0.475531471992015,0.489509420112552,0.510484759026265
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316278680288059,0.28419791246396,0.296726904426242,0.408723353637044,0.366791004450616,0.685468654269614,0.687455843125241,0.688462109229112,0.688954663030775,0.69314337932147,0.694531224417092,0.69581675502454,0.698846241101514,0.701982315904779,0.568215350950866,0.567478466474273,0.562533851835304,0.511417380472865,0.509320861769312
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,0.905586482483237,NA,0.879023473483885,NA,0.868506369720322,0.857008444759946,0.884519520282392,0.876900008494768,0.845276485510856,0.847434260043491,0.870204923007293,0.867679397178471,0.8342977982486,0.835520852721692,0.837642314671685,0.838195438910514,0.835226361941039,0.839781790536033,0.840338782221792,0.842468677093483,0.841588777672994,0.844573717773079,0.843789485982565,0.839868845608473,0.840307180784843,0.841267714474164,0.838894312956378,0.839858748834276,0.836835435501322,0.836606924578317,0.835202070155505
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256552995037864,0.261848583372039,0.253606014880655,0.28419886328662,0.304235852322273,0.3020931581494,0.315792859377635,0.318259224582147,0.315891809376657,0.307498523912616,0.310705384049405,0.304029073897768,0.299189472222204,0.300403421390612
"Netherlands",0.872429978638323,0.848717486931853,0.853359720958381,0.880676851809314,0.866885732670945,0.878277612723198,0.836823511374284,0.849074255881752,0.842220065951373,0.862463171730121,0.9173958572599,0.863710654358859,0.864926372407655,0.849670356897145,0.857172402382528,0.771465496489468,0.782199580828852,0.783932736318408,0.778504041711348,0.742732567854912,0.737922990895653,0.728980860076015,0.729733825249897,0.745213530651528,0.735415839238198,0.755150916816216,0.735568512378012,0.73196741230551,0.732070607017841,0.738613502365805,0.733188688796624,0.685075402535787,0.698422088587332,0.681157338045945,0.676964685034271,0.66782518207504,0.68269216855828,0.684002893808169,0.683452534170436
"New Zealand",0.262873667985713,NA,0.322487046323339,NA,0.346503779578536,NA,0.356639853690581,NA,0.357188732394366,NA,0.305551978398588,0.316829386736011,0.357354950359778,0.348973808501503,0.358026151930262,0.380296327505091,0.373551020408163,0.362385731371224,0.344757487922705,0.341833333333333,0.300486111111111,0.295382349118323,0.29531358214698,0.290039754845122,0.292858246898515,0.284463894967177,0.280231597580764,0.269682506159803,0.268881507639593,0.262778318531269,0.259687943577077,0.255465340394676,0.258902036416184,0.256676782587745,0.254642075008845,0.256283624136791,0.249047445311654,0.249116216669887,0.23412870870868
"Norway",0.518277205213698,0.513891163762673,0.520197721056311,0.511100218091183,0.598901811906816,0.580908375716075,0.616229793417904,0.608542156585956,0.619593684773883,0.702464494603281,0.673158477010942,0.676634222420245,0.663875068811785,0.662545902381044,0.666208734033494,0.666246989469089,0.673291607186157,0.673431746584461,0.677090847855743,0.675216034674964,0.669341762529304,0.655228459955571,0.655355482832191,0.655516260380317,0.659837592898431,0.66061192939067,0.658167251628858,0.657861677535417,0.658202936603138,0.650526151632978,0.659832576186242,0.659602328711287,0.66160896185217,0.661752589130282,0.664923820997867,0.665013664670384,0.664541833142735,0.664527976039097,0.666311220343812
"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415012098841461,0.394174471541512,0.386740036273306,0.379032829086458,0.371798000214932,0.319111694562958,0.318189546663418,0.301341042085991,0.297693495120528,0.301555035567878,0.306960993242329,0.303016140081487,0.296500605937279,0.29486264595902,0.288134351646638,0.256510816521732,0.247198363849525,0.242189613304399
"Portugal",NA,NA,NA,NA,NA,NA,NA,NA,0.529291673317819,NA,0.540215653511883,NA,0.475541407376118,0.448283529753861,0.780527859325027,0.76119793031863,0.775186276028362,0.783132182019875,0.78850542608198,0.786651461849264,0.783644691232195,0.785222435325048,0.787054301474699,0.795053128374685,0.792682926829268,0.793650793650794,0.794621026894865,0.793650793650794,0.788834951456311,0.789793438639125,0.777511961722488,0.778443113772455,0.779376498800959,0.779376498800959,0.775186265910818,0.77805337320119,0.778839053332124,0.777715473030063,0.777275551505779
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668184010611359,0.692910922625184,0.71535767883942,0.710228078084806,0.709647926231232,0.702120418015689,0.699420961828889,0.713553279874047,0.72082386649774,0.724684176695944,0.699246176490723,0.721953335330318,0.718341807985604,0.732631050995371,0.737488212413404,0.563515334276948,0.545118916121006,0.548352459982994,0.609643467425087,0.648371993809876
"Spain",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.75,NA,0.75,0.799153397651017,0.765782522194798,0.744150337703615,0.728878228639941,0.75,0.75,0.75,0.75,0.65,0.65,0.542216284056542,0.543849623649546,0.541530137010852,0.538993563852237,0.539643743650963,0.548432062228733,0.546528511036619,0.543430301038654,0.53593619608802,0.529961041343519,0.529692096466254,0.516740325116304,0.512013737405726,0.510274725965858,0.498795957366782,0.488446702746941
"Slovak Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.710227272727273,0.710227272727273,0.632329437772211,0.64634495311454,0.610605900496659,0.601106391972425,0.544283525862767,0.560072366328151,0.660661013365906,0.514593223466036,0.55460055648532,0.533547358079842,0.536469529957886,0.641351372280633,0.640573038679323,0.642775963813779,0.643446589290402,0.647632898525124,0.631442610476723
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646447835323749,0.641866708977964,0.645433395543882,0.642718623342665,0.644080998932864,0.64463044416903,0.645137485200474,0.646392044018095,0.637572436489051,0.647505082131617,0.646279855780701,0.638446579510032,0.638696772494825,0.641401110269859,0.660585105489031,0.665649411454776,0.650110219276864,0.651065861574049,0.650861199812592
"Sweden",0.748847926267281,0.806451612903226,0.730439668492766,0.932644755418336,0.796765527873792,0.763433598769427,0.833905677655678,0.790942087870416,0.800389315986596,0.8199653779573,0.789400122423995,0.745550046125461,0.875617380071842,0.817256960254993,0.807749237485796,0.79919258881523,0.824222952220709,0.854987292326568,0.861436179234083,0.851873093590516,0.874971587991648,0.862870306418455,0.897707274120697,0.809171379389271,0.79745736945129,0.754279715547036,0.719254437770997,0.713697132904118,0.705814375735552,0.677966370968786,0.715689584009256,0.779337529373611,0.760698688331085,0.742620148227714,0.723778004366024,0.705665735314423,0.657365026081974,0.62168973348122,0.598473830617469
"Switzerland",0.248631956072515,0.248312329708018,0.265821175105485,NA,0.701460669077758,0.680094713598081,0.670473176470588,0.676823757644716,0.678313135108481,0.68547902289433,0.681182427762324,0.688574421566259,0.680006106171885,0.718568549344859,0.729902147033643,0.731013072812683,0.721605171147763,0.717890342670581,0.716470272353142,0.721184336180321,0.710538243883096,0.728013708244087,0.727228001641425,0.71586311709198,0.733826234178595,0.727007328138259,0.725938808026048,0.724073113856843,0.715504821546035,0.721884379839776,0.720896804847514,0.723467498399263,0.72231962811986,0.722648280481359,0.703669396126981,0.703903949143962,0.704659297742844,0.708429351504665,0.708329839334253
