"Specification","break_year","PG","SR","DE","IE","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"counter_1970_FPG.FSR.TDE.TIE",1970,"FPG","FSR","TDE","TIE","United States",2050,1,3,3.90162550082789,1.16334069237185,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,2.20329593149135,0.142415238128972,4.782,0.213337678974416,1.79766532667858,24.2963937916551,3.28591734137147,71.9239614689043,0.539252210060363,0.607263334646415,0.385868357063745,12.0545753514301,2.05514550080494,14.2397516924631,8.59643559217697,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.FSR.TDE.TIE",1970,"FPG","FSR","TDE","TIE","United States",2060,2,3,4.12504605495243,1.22995759911244,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,2.21579023279767,0.142415238128972,4.817,0.213554858836523,1.89749569408432,24.3528889219738,3.27414621468594,76.1359734518213,0.540006179614351,0.60693388122502,0.386383099396619,12.069856417976,2.0581525576422,15.0734981599249,9.14023675840416,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.FSR.TDE.TIE",1970,"FPG","FSR","TDE","TIE","United States",2070,3,3,4.95795322827614,1.47830404022789,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,2.22662330610873,0.142415238128972,4.847,0.213739872588298,2.27759319345506,24.4011285334443,3.26416280115372,91.6105505999091,0.54061825745642,0.606653315545621,0.386820779055334,12.0829031569195,2.06340085890202,18.135979685475,11.0394942086767,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_FPG.FSR.TDE.TIE",1970,"FPG","FSR","TDE","TIE","United States",2080,4,3,5.25275661792242,1.56620503927352,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,2.23928359309114,0.142415238128972,4.883,0.213960517764142,2.40884941900769,24.4587934332428,3.25230970518187,97.1725561218783,0.541412329901467,0.606318828099973,0.387341760920809,12.0984973955682,2.06357729739915,19.2380475622177,11.7624117130146,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,NA,NA,1.00716566875034,0.156235668491095,0.992885312741814,17.4681594017823,6.42296057002114,23.7668394806836,0.331617924795342,0.729751169681549,0.33749,9.89890817350569,5.75430747829532,4.59472907330485,1,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,3.84625995412632,1,1,NA,NA,1.62284606535022,0.156235668491095,1.08197777507399,19.8717598322486,4.53469441418341,29.4631970230121,0.331617924795342,0.729751169681549,0.33749,11.2609875660579,7.55127625602146,5.89915243846997,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,3.84625995412632,1,1,1.42757947459685,0.233149042634158,2.826,0.161547736260338,0.890283312542121,22.0057246130601,3.71159611497686,28.9294849129586,0.494840950248815,0.67720975545711,0.445328489317195,10.3851373165779,6.08786160407042,6.14401053452617,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.84625995412632,1,1,1.77778716183384,0.233149042634158,3.833,0.171156539106765,0.8439463262979,23.7520038025731,3.18065018182446,30.3343307241097,0.536189104661142,0.660816173388103,0.472137117023736,10.5654752988445,5.78670751496972,6.55408890745975,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.84625995412632,1,1,2.32851919227586,0.233149042634158,5.582,0.183554601879987,0.823133119545835,26.2359711186345,2.64315196126778,33.7402639127959,0.582852169065592,0.640057137875735,0.502580627609542,10.8618321838775,5.15162574725251,7.30367640545829,4.59472907330485,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"counter_1970_TPG.TSR.TDE.FIE",1970,"TPG","TSR","TDE","FIE","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,3.84625995412632,1,1,3.21099490008912,0.233149042634158,8.745,0.199142486736631,0.674574321151512,29.7782136799093,2.13559960749776,32.6858459103955,0.632819336753674,0.614566266184374,0.5354777310179,11.3349262188301,4.35957484713172,7.229789332527,5.89915243846997,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
