"countrycode","year","v_c","v_i","v_g","v_x","v_m","v_gdp","q_c","q_i","q_g","q_x","q_m","q_gdp","pop","xr","xr2","v_gfcf","q_gfcf","emp","avh"
"CHE",1982,138446.4728,65533.7799,23739.2482,102333.437,100565.283,226807.838292,217753.832422213,89255.1998091589,41178.3043164504,131494.158221062,112007.268697949,363986.36511508,6.341548,2.03027499908333,2.03027499908333,64380.2014,83962.0882749848,3.29124140739441,1791.42113500486
"CHE",1983,144487.4783,68580.496,25152.0442,102278.3378,104297.8243,233659.906884,220300.113438576,93437.1622834322,42251.8045309709,127723.173556088,113136.345002128,366312.525838936,6.377095,2.09914166575,2.09914166575,71397.3911,86914.252907943,3.29291701316833,1776.66792021343
"CHE",1984,150738.3304,67009.8399,26349.756,120101.6125,112437.8255,249738.51571,223152.075480503,85737.7104887147,42914.1814469719,147945.448001911,119868.474980156,377332.904322786,6.416705,2.34968333283333,2.34968333283333,65367.0777,90631.9941745157,3.33101511001587,1757.57058701254
"CHE",1985,158286.9037,73110.0726,28241.0369,128586.2659,121083.9145,264792.114069,226804.969506357,88098.0793329998,45111.2190924943,159775.967405919,127117.353623294,391194.579304887,6.456224,2.457125,2.457125,71753.2432,93856.0866071338,3.40104603767395,1751.32882660939
"CHE",1986,164146.8281,82676.0573,30053.4298,124099.6807,121270.529,277898.340513,232083.760594144,102228.233263267,46559.3486599835,162248.494122205,141888.209523546,398465.444198909,6.494086,1.7989166665,1.7989166665,84391.0509,100309.021286608,3.47787022590637,1742.75208184448
"CHE",1987,170231.3172,84542.5681,31043.1046,120735.4241,116291.7907,288496.654505,237166.95019465,102224.254422214,47633.5386671834,158393.730900858,139776.768078445,404783.019107155,6.531889,1.49119166666667,1.49119166666667,86399.2949,104411.469834518,3.55908298492432,1741.48245926825
"CHE",1988,176532.1132,92841.9026,33570.9033,131919.457,127149.9778,306265.992739,241237.085546406,104960.113314619,49808.763968085,170598.829485955,148339.070779892,418050.179913853,6.572266,1.4633,1.4633,94143.0492,113075.436110943,3.64461517333984,1740.95495630627
"CHE",1989,185997.1578,102670.1741,37728.4215,150758.5166,145725.8074,330580.551759,246889.194128035,113458.522550014,54174.9577514316,180550.092929337,159208.7046105,436155.084004861,6.619155,1.635925,1.635925,100936.0535,118381.089107286,3.73615980148315,1725.78901803758
"CHE",1990,198032.9756,117151.7518,41483.9496,150966.2418,149111.0147,358506.055446,249911.373506339,127895.390392125,56691.8065132871,184282.379986713,168719.936975952,452182.123837949,6.67489,1.38915833333333,1.38915833333333,112014.6493,123855.902159675,3.84541082382202,1716.22087515004
"CHE",1991,212262.2049,110633.3401,45011.0152,151628.6798,145090.4211,374437.171089,254478.975626955,116941.226303074,57758.2483069076,181247.179508477,163229.852909911,448040.965905603,6.741069,1.43399166666667,1.43399166666667,111424.6353,121540.51236144,3.90534830093384,1713.775238508
"CHE",1992,221370.3457,101703.6991,47704.2176,158286.7576,146856.7937,382225.362583,255656.756120917,110611.23357778,58279.5326057786,188313.888792792,164904.817081734,447845.041085952,6.815376,1.40621833333333,1.40621833333333,102257.9244,111815.54806495,3.86879301071167,1723.19016208362
"CHE",1993,226251.5159,99286.9217,47987.869,161823.8865,144717.3556,390608.004758,254703.232941212,110375.288151214,57591.4830139134,187021.115264602,162425.723543945,447280.824133439,6.8916,1.47761666666667,1.47761666666667,98771.1454,107945.577826554,3.84786295890808,1719.49033087277
"CHE",1994,228652.1189,104693.1986,49073.5096,162915.6407,145088.2266,400252.833697,257809.910709698,116318.137485317,58804.0425924012,189679.507670661,169670.964434564,452960.205055631,6.961263,1.3676925,1.3676925,100181.045,112231.983921663,3.83457446098328,1741.31133912113
"CHE",1995,233485.191954,105114.180843,49252.276225,164820.902014,147527.940098,405144.610939,260090.493010255,120180.152448302,59093.0284611811,195210.423079409,179682.735316693,455138.322582033,7.018525,1.18246916666667,1.18246916666667,100794.378905,117551.179434759,3.83411145210266,1720.26621854234
"CHE",1996,238603.988463,103841.074772,49997.427174,170299.897568,154749.061161,407993.326817,263155.757929773,119908.838026406,59705.5779085513,201213.947057267,186881.062180305,457596.203983946,7.061173,1.23601,1.23601,100061.930988,116308.171614055,3.82970023155212,1696.87194275558
"CHE",1997,244448.983895,100470.668378,49655.734056,196442.461582,175192.626788,415825.221122,267335.017482745,115852.677132523,59999.4537867006,230912.747624697,206343.73396816,468304.644764951,7.091765,1.4513125,1.4513125,99778.920319,120068.891948749,3.83144688606262,1687.45360954303
"CHE",1998,250286.925411,107950.024641,50110.82262,199769.998521,180361.309744,427756.461449,273089.144006046,127373.303719626,60698.9369336316,237018.526688257,216465.425001552,482306.436896772,7.115127,1.44981330833333,1.44981330833333,108230.525996,128398.087741884,3.88353323936462,1695.53448485339
"CHE",1999,256082.914673,107598.049678,51140.73246,206484.174699,185799.325463,435506.546046,278654.881986821,128282.565164673,61872.6278442423,244789.408465524,223836.079823046,490480.19913719,7.138464,1.502155,1.502155,110054.621337,131214.993701449,3.90929865837097,1717.40097617804
"CHE",2000,264561.605851,113530.059734,53190.584065,239454.311485,211289.232873,459447.328262,283654.90060362,129794.235469446,62798.0225594567,274631.301266974,241491.685298306,509789.527882734,7.16725,1.6888425,1.6888425,112202.045557,137513.448013099,3.9411985874176,1712.74308206048
"CHE",2001,271602.017518,117299.89222,54913.562944,239290.918217,212888.257337,470218.133562,289533.629251206,132816.45784952,62850.7238358851,274594.621298258,243898.563932958,516480.111849932,7.202685,1.687615,1.687615,116602.37784,134854.284885958,4.00116872787476,1672.85071746696
"CHE",2002,271775.886238,109766.704366,56671.463939,229900.210704,198326.02482,469788.240426,290828.338071976,131082.870524167,64002.3231420196,268867.368054993,238088.67785483,517320.016543167,7.243914,1.5586075,1.5586075,113913.167758,135160.213504325,4.02228736877441,1651.2582839353
"CHE",2003,275671.645045,109613.755937,58203.728137,228645.185481,196863.925478,475270.389121,292083.913858682,132334.358581879,65263.1607799772,265921.3392027,238848.794673194,517524.718902218,7.291893,1.34665083333333,1.34665083333333,112100.115625,133729.121690319,4.00466251373291,1664.54053158251
"CHE",2004,281985.690539,105443.204635,58848.218927,252281.464167,208416.031448,490142.54682,297096.903096216,124849.69671539,65891.7818012498,291305.678217317,248219.48132245,531892.340075253,7.347247,1.24349583333333,1.24349583333333,109819.586236,140484.622266629,4.01849460601807,1694.95328783637
"CHE",2005,289621.502217,122212.454966,60165.033983,273739.698743,236838.706263,508899.983647,301833.352979501,140846.790254383,67051.9436945431,310488.165956929,272496.24084485,548462.140397276,7.410308,1.24517666666667,1.24517666666667,125474.168704,144992.958093277,4.05656480789185,1689.9702267496
"CHE",2006,297284.719479,136145.24801,61126.245142,305215.573056,259482.794707,540288.99098,306096.732671139,148170.74264451,67223.1857837319,329923.171151123,281054.401354296,570338.260851868,7.481407,1.25384333333333,1.25384333333333,135881.863083,151732.035888639,4.15850639343262,1679.23838174421
"CHE",2007,308385.66389,139777.664604,62846.98031,353162.644866,288085.347234,576087.606436,313387.508456429,142798.855226869,67721.2316103138,367417.274863025,297375.239322304,593789.869520552,7.560358,1.20036583333333,1.20036583333333,138286.760954,159276.246147316,4.272536277771,1668.87002879655
"CHE",2008,318735.17277,152084.623549,66308.252809,376237.110195,312934.066383,600431.092941,317968.283399352,150639.163446053,68546.2549286457,381607.33924829,312004.92592792,606584.281027721,7.646113,1.08309,1.08309,151402.890099,160424.954019889,4.36856889724731,1659.45897946613
"CHE",2009,320972.306066,154481.062562,69387.725877,337209.404625,292837.276033,589213.223097,322133.812284106,156808.646038318,70611.6952732029,343562.474289452,300269.994738837,593105.318372614,7.737161,1.08814169630268,1.08814169630268,156783.654173,149082.555659825,4.3861608505249,1650.77879040793
"CHE",2010,327888.15843,145287.286357,70637.119572,389442.543645,324424.544477,608830.563527,327748.05121416,148400.516988367,71357.6881150587,387676.221368325,324519.653411392,610914.499072798,7.831971,1.04290564573352,1.04290564573352,144937.118043,155649.969411096,4.40257406234741,1624.34638188442
"CHE",2011,330188.927769,166094.121542,72571.173869,406708.434428,354306.536407,621256.1212,330188.927769,166094.121542,72571.173869,406708.434428,354306.536407,621256.1212,7.930421,0.888042028223281,0.888042028223281,162561.897885,162561.897885,4.52275085449219,1619.31691282911
"CHE",2012,334323.125656,152753.2324,74285.561022,419908.008316,354855.797948,626414.129447,337909.386302959,149986.812794272,73684.4630596092,411156.998281069,345231.540629745,627506.12640684,8.03167,0.937684480709349,0.937684480709349,152550.114472,167917.737548701,4.61136484146118,1603.2313689246
"CHE",2013,341222.697605,143886.970531,76145.693518,459008.412975,382086.813661,638176.960968,346766.613527245,135334.659394033,75401.5749016299,473645.033328102,391725.585949934,639127.773671554,8.132674,0.926903547758285,0.926903547758285,136335.72718,168845.674141464,4.67426681518555,1582.89237113925
"CHE",2014,345034.869664,150971.596769,77777.304248,417598.093953,341663.519662,649718.344971,351174.53640115,143188.707506432,77022.8963376777,444486.322182863,361421.748717728,654781.410115592,8.229629,0.916151047283613,0.916151047283613,148341.644324,173945.071149556,4.76025581359863,1575.32149723038
"CHE",2015,348702.4428,150920.4885,78073.0532,407054.0649,330492.1458,654257.903717,357306.088863278,148843.659564726,77900.6218803966,456233.907800839,377551.126302168,663512.031324934,8.319769,0.962381328004354,0.962381328004354,153946.9999,177899.660888464,4.82984590530396,1589.47508202482
"CHE",2016,353562.0997,151606.7525,79161.555,434794.379,358732.1211,660392.665184,362811.855569562,145533.327719465,78828.2881173323,486715.233757227,400022.856192119,674136.359383756,8.401739,0.985394394244834,0.985394394244834,161386.0541,184018.840667584,4.8932056427002,1589.67572477999
"CHE",2017,359497.8264,157358.483,80107.8636,433963.2618,362355.8405,668571.594289,366930.20525914,150109.001405053,79518.84306743,484991.084762359,396963.219603318,685035.090299878,8.476005,0.984731140350877,0.984731140350877,166333.1973,190077.874699813,4.94409799575806,1589.67572477999
"CHL",1951,0.130151550584005,0.0410922026655865,0.0183869713760623,0.0437913542317525,0.0344783228392622,0.179029723456886,6933186.19564557,1138564.9991973,1792669.68576299,1414861.21070438,888452.734980245,11362236.3087857,6.382267642851,5.52999982260558e-05,5.52999982260558e-05,NA,NA,2.10900139808655,2677.80691111538
"CHL",1952,0.169302834865922,0.0441881911491901,0.0258148209516014,0.060168606976828,0.0433900933192774,0.232059083979796,7361780.82012571,1085360.1359589,2070787.64888609,1469906.78076195,902144.868843263,11907379.8569356,6.51057351426787,5.99999975621539e-05,5.99999975621539e-05,NA,NA,2.13158845901489,2655.04409452854
"CHL",1953,0.217977404513711,0.0869691198305115,0.0392093041670535,0.0548281951614171,0.0449971351097005,0.315791909822689,7563469.35546087,1415225.6630322,2412262.08840196,1150606.2307359,909751.68857138,12989515.4431811,6.62812938430236,6.92999954744378e-05,6.92999954744378e-05,NA,NA,2.1544177532196,2632.47477427514
"CHL",1954,0.394687255191554,0.0743037151031839,0.0613710875629181,0.0785040115020812,0.0615058201581578,0.515603883894994,8017284.25710652,986403.686425797,2266310.8725574,1321270.19474184,897581.136938776,12266379.1412367,6.74998155537838,8.98999992212972e-05,8.98999992212972e-05,NA,NA,2.17749118804932,2610.09730553101
"CHL",1955,0.666629943445205,0.167464811900903,0.114096644842833,0.173385279655206,0.121404606308592,0.917130646715982,7689533.07701502,1276892.59232054,2428780.7759354,1478173.19673723,1052756.52008649,12883323.0239037,6.88384642950249,0.000158499996652305,0.000158499996652305,NA,NA,2.20143866539001,2587.91005745386
"CHL",1956,1.04544510460903,0.329300573930331,0.174128277234221,0.34356632159549,0.238134176293989,1.48297814017101,7739954.65845273,1362020.60272964,2332402.11167229,1373570.70391548,1052756.4855278,12962894.080875,7.03245531702413,0.000329222001197928,0.000329222001197928,NA,NA,2.22763156890869,2565.91141306448
"CHL",1957,1.513144262521,0.451732850806605,0.238665327329896,0.503778613562322,0.477729289764928,2.0338440679208,8849255.94115105,1340738.66842107,2478337.8861109,1447892.69207102,1169893.98522433,13962209.1959763,7.19536525012686,0.00051274400114894,0.00051274400114894,NA,NA,2.2541356086731,2544.09976912883
"CHL",1958,1.93640138989308,0.593866870259456,0.332426696138091,0.53404093155911,0.505487282911746,2.64269855262714,9000522.01884233,1362020.59991564,2753720.94676733,1522215.99974158,1083182.92102966,14613669.9761492,7.37029421438936,0.000684908988138346,0.000684908988138346,NA,NA,2.28095531463623,2522.47353604125
"CHL",1959,2.66652003110736,0.840138618453458,0.465153829318521,0.973734603336501,0.750926191786677,3.76238180817987,8899677.72113256,1244975.08714115,2808794.37087459,1690121.69775245,1113609.31546514,14385468.9258291,7.55410687387141,0.000976791939587354,0.000976791939587354,NA,NA,2.3080940246582,2501.0311377086
"CHL",1960,3.2379172173913,1.141293875,0.54795608089285,1.0485004,1.04457621428571,4.45577163265306,9706446.26270751,1670604.19850334,3001551.74648799,1764445.12956587,1597389.97801774,15902200.2772124,7.74348145672762,0.0010489689723495,0.0010489689723495,NA,NA,2.33637571334839,2479.77101143537
"CHL",1961,4.31722295652174,1.141293875,1.22585253846154,1.0485004,1.04457621428571,5.56971454081633,10277414.5398173,1893595.54704281,2982076.49364442,1851662.34833746,1785990.63280903,16667546.2974754,7.93536489246939,0.00105013603593288,0.00105013603593288,NA,NA,2.37216258049011,2471.21474581166
"CHL",1962,4.31722295652174,1.141293875,1.22585253846154,1.0485004,1.04457621428571,6.68365744897959,10721499.8427906,1749755.76013552,3142747.18765168,1899987.41313066,1650390.8370429,17432893.9383029,8.12722690998708,0.001057635976511,0.001057635976511,NA,NA,2.40849757194519,2462.68800294674
"CHL",1963,7.55514017391304,1.141293875,1.22585253846154,1.0485004,1.04457621428571,10.0254861734694,11165586.2320017,2095593.51039224,3133426.77288989,2000271.55198877,1693385.82259901,18538395.6691655,8.31719779567309,0.00162178601439796,0.00162178601439796,NA,NA,2.44538879394531,2454.19068097452
"CHL",1964,10.7930573913043,2.28258775,1.22585253846154,2.0970008,2.08915242857143,14.4812578061224,11102144.6221501,2522719.04553033,3251112.77288739,2184912.03210316,1873613.53819826,18963587.1500492,8.50408835131257,0.00230743290104237,0.00230743290104237,NA,NA,2.48284530639648,2445.7226783804
"CHL",1965,14.0309746086957,3.423881625,2.45170507692308,3.1455012,2.08915242857143,20.0509723469388,11102144.7220204,2463462.2042694,3559100.14054331,2166277.86554659,1832962.75512538,19133664.7013444,8.6873572799694,0.00315665798067019,0.00315665798067019,NA,NA,2.52233934402466,2437.28389400004
"CHL",1966,20.5068090434783,5.706469375,3.67755761538462,4.1940016,4.17830485714286,28.9625156122449,12370961.3570661,3526668.2520253,3933998.28979225,2253108.36523216,2497565.18910736,21259625.3169836,8.86703086764587,0.00385113799613779,0.00385113799613779,NA,NA,2.56353545188904,2428.87422701817
"CHL",1967,25.9033377391304,6.84776325,4.90341015384615,5.242502,5.22288107142857,37.874058877551,12751605.9171432,3197368.5000625,4000770.62608087,2326794.51741619,2267518.62610234,21939935.3449953,9.04359005082838,0.0050682690146972,0.0050682690146972,NA,NA,2.60540413856506,2420.49357696737
"CHL",1968,36.6963951304348,9.130351,6.12926269230769,7.3395028,6.26745728571429,52.3553166836735,13259132.3318772,3476870.7417163,4177856.33023011,2373959.81711814,2472864.99766337,22705281.6175256,9.21786235181137,0.00687646575879759,0.00687646575879759,NA,NA,2.65007209777832,2412.14184372688
"CHL",1969,52.8859812173913,12.554232625,9.80682030769231,12.5820048,10.4457621428571,76.8620606632653,13956981.2825097,3725554.18959587,4468037.62227502,2458315.84748192,2819965.24579413,23555666.4871649,9.39089726357528,0.00861758166718581,0.00861758166718581,NA,NA,2.68977165222168,2403.81892752138
"CHL",1970,74.472096,18.260702,15.936083,15.727506,14.624067,109.166405,13893540.4898028,4035264.13563161,4731648.5628686,2509037.97048581,2846675.07400915,24065896.8877379,9.563865,0.0112775040919884,0.0112775040919884,19.586954,3270054.27481159,2.70708727836609,2395.52472891984
"CHL",1971,97.137517,20.54329,23.291199,14.679005,16.71322,141.47075,15721834.4065587,3907535.68563767,5319661.61846,2529605.07999412,3089573.97554744,26221054.2391161,9.745189,0.0122086435743848,0.0122086435743848,23.504345,3194224.80673128,2.81296563148499,2392.67242598385
"CHL",1972,189.95781,33.097522,46.582397,25.164009,33.426439,260.662641,16935017.2456489,2825899.41188856,5621945.0571249,2147411.74655498,3187035.12175556,25902949.5039289,9.922558,0.0208352250595966,0.0208352250595966,40.479705,2552448.74196622,2.92227959632874,2389.82351922738
"CHL",1973,1000.51642,103.857742,185.103736,167.760059,190.112874,1277.692518,15821979.3070763,2517470.73913812,5720016.75043934,2207334.84990277,3014468.71780357,24461446.1595447,10.096295,0.0716419084529153,0.0716419084529153,191.95215,2398639.70198965,2.95323801040649,2386.97800460667
"CHL",1974,6198.452861,2219.816567,1775.034499,1968.035195,1895.905856,10247.160828,12930879.2183972,4569918.89177002,6269079.17298492,3221620.09703453,3115948.78349435,24699811.7515803,10.267056,0.592826261289235,0.592826261289235,2035.737428,2857123.93858811,2.86621713638306,2384.00170428456
"CHL",1975,27999.349488,5301.310003,6815.740202,9463.764344,10159.548406,39485.934326,11453951.9839478,2165163.97081779,5623892.51280141,3297316.53215999,1911040.45587112,21511025.6435455,10.435534,4.91041666666667,4.91041666666667,8188.652605,2206519.81440513,2.75484490394592,2381.0291150832
"CHL",1976,95700.960596,18770.860197,22053.087452,33888.580476,27944.503286,143337.71787,11483009.7286538,2168642.50533344,5617910.72166524,4100827.56933732,1993095.24579977,22267779.9662414,10.601836,13.0541666666667,13.0541666666667,22287.342156,1879604.90105411,2.79183864593506,2378.06023237523
"CHL",1977,226122.107518,47373.96704,51411.030276,62215.914987,67399.192044,320559.351172,13321284.2598645,2533154.53007792,5834085.91370727,4588021.36576537,2701236.77256858,24463146.1060854,10.766419,21.5358333333333,21.5358333333333,50072.089426,2169963.36683974,2.91255950927734,2375.09505153907
"CHL",1978,374116.510487,99104.252762,86235.04964,105219.109184,121853.995454,543053.852216,14324131.6546758,3126699.61092477,6228737.76470077,5101426.86114732,3175480.5445952,26473362.4418813,10.930783,31.6558333333333,31.6558333333333,93487.226056,2547016.10813449,2.93688654899597,2372.13356795887
"CHL",1979,589616.090919,156786.385991,135327.992735,188459.553601,210591.79071,860186.714997,15253728.7677009,4037766.48413912,6798806.35999019,5822978.31519644,3895092.77919927,28665754.1255374,11.096868,37.2458333333333,37.2458333333333,150187.540744,2976187.42026357,2.99190020561218,2369.17577702456
"CHL",1980,820623.136213,257998.608522,164124.495089,257288.360425,303030.519546,1198109.094305,16309604.0314969,5306937.44445676,6248213.3916786,6655484.3052307,4624418.19353095,30943239.122241,11.266226,39,39,233716.759343,3628093.15698222,3.16222047805786,2366.22167413183
"CHL",1981,1046731.212756,324086.371065,205248.170729,219158.59595,355799.376922,1436564.169362,18493268.650428,6206531.30570955,6051513.79351758,6059809.92799995,5350812.5444942,32865556.8727217,11.439144,39,39,309331.542693,4236085.96317239,3.21769905090332,2371.73221555304
"CHL",1982,975863.997915,151053.666907,232654.556287,251496.444378,275094.372869,1339859.443528,15765389.4565048,2685843.28487199,5939947.98444158,6345585.42110255,3459993.13597193,28399760.1700946,11.615836,50.9083333333333,50.9083333333333,220097.297268,2613621.30053887,2.98803901672363,2377.25559011963
"CHL",1983,1187631.339101,195333.586279,270137.44984,394089.34927,346871.38389,1710655.392049,14861670.481886,2106151.2905363,5868028.67837234,6351925.21859893,2841065.07509172,27603987.6306112,11.797534,78.7883333333333,78.7883333333333,250113.651507,2220610.49082918,3.17821621894836,2382.79182771789
"CHL",1984,1431796.200662,384500.761806,314205.623316,462306.880378,478440.982852,2119501.402485,14955012.4191791,3634624.45442906,5820870.85753946,6496591.04416901,3215000.77754901,29228600.6251419,11.985658,98.4775,98.4775,348359.201608,2639199.57912097,3.31776547431946,2388.34095830371
"CHL",1985,1999896.331668,540161.832046,410931.519115,784158.748119,697636.947963,3053849.980649,14808260.1101578,3007819.90382731,5973333.91446915,7294535.25090187,2883055.4415461,29803944.7070255,12.181028,160.859999999917,160.859999999917,547793.568113,2902395.17665253,3.52109217643738,2393.90301190274
