"countrycode1","countrycode2","year","cor_exp"
"NLD","COL",1970,0.466380619177369
"NLD","DEU",1970,0.92238924921828
"NLD","FRA",1970,0.863795731577043
"NLD","GBR",1970,0.699659059808413
"NLD","HUN",1970,0.501548430782821
"NLD","IND",1970,0.145480673986182
"NLD","IRN",1970,0.469522224308749
"NLD","ITA",1970,0.718180755244504
"NLD","JPN",1970,0.474130534594739
"NLD","KEN",1970,0.374069512076557
"NLD","KOR",1970,0.244938279266427
"NLD","MYS",1970,0.659976874105556
"NLD","NLD",1970,1
"NLD","PHL",1970,0.326446197044829
"NLD","USA",1970,0.719126066151642
"PHL","BEL",1970,0.301630772936013
"PHL","COL",1970,0.3314354560853
"PHL","DEU",1970,0.32205150481005
"PHL","FRA",1970,0.310492845206024
"PHL","GBR",1970,0.293504593090968
"PHL","HUN",1970,0.257109066862175
"PHL","IND",1970,0.678621001723796
"PHL","IRN",1970,0.402124011721936
"PHL","ITA",1970,0.286513028507939
"PHL","JPN",1970,0.489210632743037
"PHL","KEN",1970,0.335010836275822
"PHL","KOR",1970,0.79769675731806
"PHL","MYS",1970,0.666760334482867
"PHL","NLD",1970,0.326446197044829
"PHL","PHL",1970,1
"PHL","USA",1970,0.292711022604154
"USA","BEL",1970,0.755144064707529
"USA","COL",1970,0.593631763284199
"USA","DEU",1970,0.772745557915467
"USA","FRA",1970,0.757695981528467
"USA","GBR",1970,0.867218509117161
"USA","HUN",1970,0.484932438531192
"USA","IND",1970,0.161055461474645
"USA","IRN",1970,0.710631422057977
"USA","ITA",1970,0.699893558925976
"USA","JPN",1970,0.546338331212141
"USA","KEN",1970,0.441065004337124
"USA","KOR",1970,0.223117994415407
"USA","MYS",1970,0.671522383832169
"USA","NLD",1970,0.719126066151642
"USA","PHL",1970,0.292711022604154
"USA","USA",1970,1
"AUT","AUT",1975,1
"AUT","BEL",1975,0.852775072160573
"AUT","BRA",1975,0.60025059101968
"AUT","COL",1975,0.429892350815172
"AUT","DEU",1975,0.847479279640009
"AUT","DNK",1975,0.804275152006883
"AUT","ESP",1975,0.608415692713959
"AUT","FRA",1975,0.776970123224777
"AUT","GBR",1975,0.845028363465193
"AUT","HUN",1975,0.53045093230924
"AUT","IND",1975,0.0640293128090168
"AUT","IRL",1975,0.846101794953147
"AUT","IRN",1975,0.458104412414744
"AUT","ITA",1975,0.784177940942851
"AUT","JAM",1975,0.67511302349844
"AUT","JPN",1975,0.544515524306182
"AUT","KEN",1975,0.481899487355728
"AUT","KOR",1975,0.260350045848081
"AUT","LKA",1975,0.0950584882915345
"AUT","LUX",1975,0.840093722830395
"AUT","MEX",1975,0.51778733485883
"AUT","MWI",1975,0.211336193028399
"AUT","MYS",1975,0.588563071275046
"AUT","NLD",1975,0.793251660080221
"AUT","PAK",1975,0.15086147817241
"AUT","PHL",1975,0.150800499917714
"AUT","POL",1975,0.333699650626653
"AUT","ROU",1975,0.305752075917913
"AUT","SYR",1975,0.392391438765861
"AUT","THA",1975,0.182352528504949
"AUT","URY",1975,0.525846826287771
"AUT","USA",1975,0.731230215454937
"AUT","YUG",1975,0.531376456233408
"AUT","ZMB",1975,0.506744165294274
"BEL","AUT",1975,0.852775072160573
"BEL","BEL",1975,1
"BEL","BRA",1975,0.673622046413432
"BEL","COL",1975,0.447205457290121
"BEL","DEU",1975,0.86142051532393
"BEL","DNK",1975,0.833060529489968
"BEL","ESP",1975,0.675988924469291
"BEL","FRA",1975,0.868452908388929
"BEL","GBR",1975,0.895079866272528
"BEL","HUN",1975,0.511376179266466
"BEL","IND",1975,0.0739308781450638
"BEL","IRL",1975,0.8292424836528
"BEL","IRN",1975,0.494415850453177
"BEL","ITA",1975,0.822264446712695
"BEL","JAM",1975,0.672240822763936
"BEL","JPN",1975,0.592939057327595
"BEL","KEN",1975,0.519015362709527
"BEL","KOR",1975,0.250575758659073
"BEL","LKA",1975,0.0923604411560387
"BEL","LUX",1975,0.938342861699093
"BEL","MEX",1975,0.539160693844915
"BEL","MWI",1975,0.182059372885941
"BEL","MYS",1975,0.603817522725669
"BEL","NLD",1975,0.860312880784298
"BEL","PAK",1975,0.187971222559526
"BEL","PHL",1975,0.215204459470702
"BEL","POL",1975,0.418620736832424
"BEL","ROU",1975,0.353263726992984
"BEL","SYR",1975,0.449932302906182
"BEL","THA",1975,0.204428951394425
"BEL","URY",1975,0.606160446062039
"BEL","USA",1975,0.801588782367481
"BEL","YUG",1975,0.528736053715809
"BEL","ZMB",1975,0.573212502799458
"BRA","AUT",1975,0.60025059101968
"BRA","BEL",1975,0.673622046413432
"BRA","BRA",1975,1
"BRA","COL",1975,0.606003446246309
"BRA","DEU",1975,0.598879119230946
"BRA","DNK",1975,0.505046333903184
"BRA","ESP",1975,0.601756898765578
"BRA","FRA",1975,0.62922368968805
"BRA","GBR",1975,0.640514832798856
"BRA","HUN",1975,0.430729863511826
"BRA","IND",1975,0.314871436736865
"BRA","IRL",1975,0.612340418624149
"BRA","IRN",1975,0.477685689884222
"BRA","ITA",1975,0.698495635663324
"BRA","JAM",1975,0.599195782420285
"BRA","JPN",1975,0.613815686206327
"BRA","KEN",1975,0.545947913942659
"BRA","KOR",1975,0.405996857596665
"BRA","LKA",1975,0.341733914484881
"BRA","LUX",1975,0.666983233390739
"BRA","MEX",1975,0.621857387990598
"BRA","MWI",1975,0.315955251016621
"BRA","MYS",1975,0.577634031026106
"BRA","NLD",1975,0.621143032216126
"BRA","PAK",1975,0.351055112159251
"BRA","PHL",1975,0.421874267069988
"BRA","POL",1975,0.351602277794058
"BRA","ROU",1975,0.31786163017023
"BRA","SYR",1975,0.510348526758895
"BRA","THA",1975,0.358911138593958
"BRA","URY",1975,0.692223484967295
"BRA","USA",1975,0.682819086985459
"BRA","YUG",1975,0.432773885361875
"BRA","ZMB",1975,0.560460119637208
"COL","AUT",1975,0.429892350815172
"COL","BEL",1975,0.447205457290121
"COL","BRA",1975,0.606003446246309
"COL","COL",1975,1
"COL","DEU",1975,0.34966981876276
"COL","DNK",1975,0.29434619535265
"COL","ESP",1975,0.32075998241887
"COL","FRA",1975,0.409553521480312
"COL","GBR",1975,0.430267601767415
"COL","HUN",1975,0.290857859827782
"COL","IND",1975,0.224744856414182
"COL","IRL",1975,0.489305701450942
"COL","IRN",1975,0.257624832967483
"COL","ITA",1975,0.511218391258239
"COL","JAM",1975,0.384854607377045
"COL","JPN",1975,0.478556885749476
"COL","KEN",1975,0.540894558621099
"COL","KOR",1975,0.195698730192359
"COL","LKA",1975,0.199130779553669
"COL","LUX",1975,0.482794016089537
"COL","MEX",1975,0.594587878826528
"COL","MWI",1975,0.249852199404572
"COL","MYS",1975,0.433967213565086
"COL","NLD",1975,0.348000377591954
"COL","PAK",1975,0.366759296644509
"COL","PHL",1975,0.226860859903066
"COL","POL",1975,0.169510959083613
"COL","ROU",1975,0.259504111201583
"COL","SYR",1975,0.277307154444615
"COL","THA",1975,0.190918936357859
"COL","URY",1975,0.653144241145052
"COL","USA",1975,0.467508249072825
"COL","YUG",1975,0.25393409182853
"COL","ZMB",1975,0.359036983244931
"DEU","AUT",1975,0.847479279640009
"DEU","BEL",1975,0.86142051532393
"DEU","BRA",1975,0.598879119230946
"DEU","COL",1975,0.34966981876276
"DEU","DEU",1975,1
"DEU","DNK",1975,0.834768017606017
"DEU","ESP",1975,0.687830963164508
"DEU","FRA",1975,0.822615170959187
"DEU","GBR",1975,0.893326484464543
"DEU","HUN",1975,0.410676537871785
"DEU","IND",1975,0.0654895452955458
"DEU","IRL",1975,0.753070986815294
"DEU","IRN",1975,0.416288182202312
"DEU","ITA",1975,0.741502231555414
"DEU","JAM",1975,0.658618086852751
"DEU","JPN",1975,0.534152128219321
