"Country","Year","total","child","young","old","young_1564","dep","young_prop","young_prop_mean5059","young.40y_before","n","p"
"South Korea",2008,49218.985,11806.407,30396.761,7015.817,35844.494,0.230808045633546,0.617582036687672,0.423488144068169,12961.519,2.34515422150753,0.541280462575412
"South Korea",2009,49379.208,11664.404,30414.23,7300.574,36061.792,0.240038100586469,0.61593191207117,0.423488144068169,13281.542,2.28996226492376,0.549678192486987
"South Korea",2010,49552.855,11477.254,30475.972,7599.629,36269.371,0.249364614195078,0.615019497867479,0.423488144068169,13621.023,2.23742166796136,0.557933791022892
"South Korea",2011,49744.659,11290.246,30565.204,7889.209,36447.844,0.258110791604728,0.614441924307894,0.423488144068169,13951.732,2.19078204770562,0.565464488566724
"South Korea",2012,49952.244,11037.104,30720.734,8194.406,36632.916,0.266738613732341,0.615002080787402,0.423488144068169,14290.965,2.14966127199948,0.573397667687241
"South Korea",2013,50169.242,10747.279,30896.493,8525.47,36801.772,0.275936495446263,0.615845322119876,0.423488144068169,14652.935,2.10855320111636,0.581826780778049
"South Korea",2014,50385.56,10462.367,31025.924,8897.269,36928.452,0.286768864643644,0.615770153194685,0.423488144068169,15056.954,2.06057108230523,0.590907629790194
"South Korea",2015,50593.662,10205.758,31069.696,9318.208,36999.11,0.299913072854012,0.614102533238254,0.423488144068169,15513.865,2.00270506414746,0.600637429808755
"South Korea",2016,50791.919,9980.946,31042.907,9768.066,37033.951,0.314663378658448,0.611178069487786,0.423488144068169,15996.255,1.94063591759446,0.610647054576211
"South Korea",2017,50982.212,9779.623,30938.32,10264.269,37019.457,0.33176555805228,0.606845383640867,0.423488144068169,16553.163,1.86902768975331,0.620079014506171
"South Korea",2018,51164.435,9605.439,30767.084,10791.912,36948.877,0.350761612637714,0.601337315656862,0.423488144068169,17157.795,1.79318403093171,0.628980122445804
"South Korea",2019,51339.238,9456.083,30553.442,11329.713,36818.931,0.370816256970328,0.595128466846352,0.423488144068169,17766.219,1.71974926122435,0.6377109839747
"South Korea",2020,51506.975,9330.679,30311.843,11864.453,36628.039,0.391413118628254,0.5884997711475,0.423488144068169,18351.423,1.65174346425343,0.64651406051727
"South Korea",2021,51666.655,9248.158,30049.763,12368.734,36392.325,0.411608371087652,0.581608447459972,0.423488144068169,18968.633,1.58418179106528,0.652062486527099
